Company / Organization Name,Source Type
AJ's Fine Foods,Grocery
Albertsons,Grocery
Albertsons #958 (Power/Broadway),Grocery
Bashas,Grocery
CVS,Grocery
El Super,Grocery
Fry's,Grocery
Frys #51 (Ray/Dobson),Grocery
Frys ( Baseline/McClintock),Grocery
Los Altos Ranch Market #507,Grocery
Safeway #1604 (Alma School/Chandler),Grocery
Safeway #247 - Guadalupe/Alma School,Grocery
Starbucks #20381,Grocery
Starbucks #5907,Grocery
Target Store,Grocery
Walmart #4324,Grocery
Winco #129 (Willis/Arizona),Grocery
AJ's Fine Foods #61 (Baseline &amp; Val Vista),Grocery
Albertsons #997 (Ray/McClintock),Grocery
Bashas #85 (Dobson/Chandler Blvd),Grocery
Bashas #48 (Warner/McClintock),Grocery
CVS #3143 (Warner/McQueen),Grocery
CVS #7078 (Rural/Southern),Grocery
El Super #53 (Stapley &amp; Southern),Grocery
Frys #611 ( Greenfield/Main),Grocery
Frys #622 (Stapley/McKellips),Grocery
Frys #607 (Baseline/McClintock),Grocery
Los Altos Ranch Market #507 (Stapley/Southern),Grocery
Safeway #247 (Alma School/Guadalupe),Grocery
Starbucks #20381 (Parklane &amp; Chandler Blvd.),Grocery
Starbucks #5907 (Alma School &amp; Elliott),Grocery
Target Store #639 (Power/US 60),Grocery
Walmart #4324 (Cooper/Chandler Blvd.),Grocery
Darby Dental Supply,Organization
Gentle Dental Tempe,Organization
Go Sold Realty,Organization
Health Design Plus,Organization
Merz Device Innovation Center,Organization
Midwest Food Bank,Organization
Olympus Property Elevation,Organization
Reach Out Sun Lakes (Ellen Engel),Organization
Reach Out Sun Lakes Democratic Club,Organization
Rockin' For Kids,Organization
San Marcos Resort,Organization
South Valley Junior High School,Organization
State Forty-Eight,Organization
Anonymous,Individual Donor
Church of the Epiphany- Episcopal,Church
Congreational Church of the Valley,Church
Hope Covenant Church,Church
Light of Christ Lutheran Church,Church
St. Barnabas on the Desert,Church
St. Matthew's Episcopal Church,Church
Church of the Epiphany,Church
St. Matthew's,Church
TEFAP,TEFAP
Food Waste,Waste
Bogle Junior High School,Organization
Encounter Farm,Organization
Epiphany Lutheran Church,Church
Food Bank,Purchased
Mountain Crest Dental,Organization
Safeway #1604 (Parklane/Chandler Blvd),Grocery
St. Mary's Food Bank CFSP,Senior Food Box
Sun Lakes Jewish Congregation Men's Club,Church
Reach Out Sun Lakes Unity Church,Church
Reach Out Sun Lakes Bridge Group,Church
Sozo Coffeehouse,Grocery
The Hubbell Group,Organization
Savers,Organization
"USPS - Main, Chandler, AZ",Organization
USPS--Andersen Springs,Organization
American Legion Post 35,Organization
Reach Out Sun Lakes Jewish Club,Church
Towne Meadows Elementary,Organization
Living Chandler,Organization
The Cleaning Authority,Organization
